case_id,case_input,case_output_dir,kpi::avg_inventory,kpi::cost_share_holding,kpi::cost_share_inventory_risk,kpi::cost_share_purchase,kpi::cost_share_transport,kpi::cost_share_warehouse_operating,kpi::ending_backlog,kpi::ending_inventory,kpi::fill_rate,kpi::measured_required_total,kpi::measurement_starting_backlog,kpi::total_arrived,kpi::total_cost,kpi::total_demand,kpi::total_estimated_source_ordered_qty,kpi::total_estimated_source_rejected_qty,kpi::total_estimated_source_replenished_qty,kpi::total_explicit_initialization_pipeline_qty,kpi::total_explicit_initialization_stock_qty,kpi::total_external_procured_arrived_qty,kpi::total_external_procured_ordered_qty,kpi::total_external_procured_qty,kpi::total_external_procured_rejected_qty,kpi::total_external_procurement_cost,kpi::total_holding_cost,kpi::total_inventory_cost_legacy_raw_holding,kpi::total_inventory_risk_cost,kpi::total_logistics_cost,kpi::total_opening_stock_bootstrap_qty,kpi::total_produced,kpi::total_purchase_cost,kpi::total_served,kpi::total_shipped,kpi::total_supplier_capacity_binding_qty,kpi::total_transport_cost,kpi::total_unreliable_loss_qty,kpi::total_warehouse_operating_cost,level,parameter_group,parameter_key,parameter_label,realism_focus,status
supplier_reliability_scale_0_95,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_95\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_0_95\simulation_output,4603604.9911,0.273019,0.156011,0.001924,0.218021,0.351025,3550.1969,4745479.2391,0.81601,19295.5487,1895.5487,1434307.4238,13612213.9502,17400.0,773229.3081,42581519.2743,773984.9576,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3716398.4652,10618281.3292,2123656.2658,13586023.3404,0.0,105498.175,26190.6098,15745.3518,805375.3822,1178209.1873,2967742.0112,42388.178,4778226.5982,0.95,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_reliability_scale_1_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_1_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_reliability_scale_1_0\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,global,supplier_reliability_scale,Fiabilite fournisseur globale,exogenous_network,ok
supplier_stock_scale_0_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_0_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_0_5\simulation_output,4634509.6976,0.273988,0.156565,0.00192,0.215258,0.35227,728.5,4809580.6613,0.959867,18152.25,752.25,1477320.6874,13514034.6782,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,169108.9218,0.0,0.0,0.0,0.0,0.0,3702683.7678,10579096.4794,2115819.2959,13488094.0786,0.0,105499.3017,25940.5996,17423.75,788118.2264,687516.2492,2908997.5992,0.0,4760593.4157,0.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_0_75,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_0_75\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_0_75\simulation_output,4655661.3893,0.274258,0.156719,0.001913,0.214492,0.352618,728.5,4810526.3855,0.959867,18152.25,752.25,1391547.6229,13562856.1137,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168658.9218,0.0,0.0,0.0,0.0,0.0,3719724.923,10627785.4944,2125557.0989,13536915.2766,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4782503.4725,0.75,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_0\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_25,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_25\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_25\simulation_output,4657557.777,0.274276,0.156729,0.001912,0.214443,0.35264,730.5,4812418.3945,0.959761,18154.25,754.25,1391518.1578,13566000.8168,17400.0,769340.7713,33770713.1342,770133.3655,782660.9135,167835.5218,0.0,0.0,0.0,0.0,0.0,3720825.8848,10630931.0995,2126186.2199,13540059.9878,0.0,105499.3017,25940.829,17423.75,788141.1644,687516.2492,2909128.8883,0.0,4783918.9948,1.25,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
supplier_stock_scale_1_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\supplier_stock_scale_1_5\simulation_output,4658504.9519,0.274285,0.156734,0.001912,0.214418,0.352652,730.5,4813363.3945,0.959761,18154.25,754.25,1391505.5573,13567573.578,17400.0,769340.7713,33770713.1342,770133.3655,782660.9135,167430.5218,0.0,0.0,0.0,0.0,0.0,3721376.3512,10632503.8607,2126500.7721,13541632.749,0.0,105499.3017,25940.829,17423.75,788141.1644,687516.2492,2909128.8883,0.0,4784626.7373,1.5,global,supplier_stock_scale,Stock fournisseur global,buffer_policy,ok
production_stock_scale_0_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_0_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_0_5\simulation_output,4656601.5776,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391633.7649,13564415.8015,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168420.5218,0.0,0.0,0.0,0.0,0.0,3720270.8138,10629345.1822,2125869.0364,13538474.9643,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783205.332,0.5,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_0_75,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_0_75\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_0_75\simulation_output,4656603.7907,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391591.0149,13564421.168,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168330.5218,0.0,0.0,0.0,0.0,0.0,3720272.6921,10629350.5487,2125870.1097,13538480.3309,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783207.7469,0.75,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_0\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_25,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_25\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_25\simulation_output,4656608.2167,0.274267,0.156724,0.001912,0.214467,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391505.5149,13564431.9011,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168150.5218,0.0,0.0,0.0,0.0,0.0,3720276.4486,10629361.2818,2125872.2564,13538491.064,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783212.5768,1.25,global,production_stock_scale,Stock production global,buffer_policy,ok
production_stock_scale_1_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\production_stock_scale_1_5\simulation_output,4656610.4297,0.274267,0.156724,0.001912,0.214467,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391462.7649,13564437.2677,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168060.5218,0.0,0.0,0.0,0.0,0.0,3720278.3269,10629366.6484,2125873.3297,13538496.4306,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783214.9918,1.5,global,production_stock_scale,Stock production global,buffer_policy,ok
safety_stock_days_scale_0_25,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_25\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_25\simulation_output,4655306.8037,0.274261,0.15672,0.001913,0.214485,0.352621,728.5,4810172.1855,0.959867,18152.25,752.25,1391548.2649,13563309.2226,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3719883.5111,10628238.6033,2125647.7207,13537368.3854,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4782707.3715,0.25,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_0_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_5\simulation_output,4655469.2037,0.274262,0.156721,0.001913,0.214483,0.352622,728.5,4810334.5855,0.959867,18152.25,752.25,1391548.2649,13563448.8866,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3719932.3935,10628378.2673,2125675.6535,13537508.0494,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4782770.2203,0.5,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_0_75,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_75\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_0_75\simulation_output,4656037.6037,0.274264,0.156722,0.001912,0.214475,0.352625,728.5,4810902.9855,0.959867,18152.25,752.25,1391548.2649,13563937.7106,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720103.4819,10628867.0913,2125773.4183,13537996.8734,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4782990.1911,0.75,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_0\simulation_output,4656606.0037,0.274267,0.156724,0.001912,0.214468,0.352629,728.5,4811471.3855,0.959867,18152.25,752.25,1391548.2649,13564426.5346,17400.0,769341.5861,33770742.3662,770134.1804,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720274.5703,10629355.9153,2125871.1831,13538485.6974,0.0,105499.3017,25940.8371,17423.75,788141.9764,687516.2492,2909129.7822,0.0,4783210.1619,1.0,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_25,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_25\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_25\simulation_output,4668267.4174,0.274966,0.157123,0.001907,0.212477,0.353527,860.0,4822635.7138,0.952964,18283.75,883.75,1407635.402,13531621.2289,17400.0,769199.4197,31645249.4291,769992.014,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720729.0737,10630654.4964,2126130.8993,13505811.3749,0.0,105499.3017,25809.854,17423.75,778978.6554,593563.7552,2875156.8784,0.0,4783794.5234,1.25,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_1_5,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_5\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_1_5\simulation_output,4668835.8174,0.274968,0.157125,0.001907,0.212469,0.353531,860.0,4823204.1138,0.952964,18283.75,883.75,1407635.402,13532110.0529,17400.0,769199.4197,31645249.4291,769992.014,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3720900.1621,10631143.3204,2126228.6641,13506300.1989,0.0,105499.3017,25809.854,17423.75,778978.6554,593563.7552,2875156.8784,0.0,4784014.4942,1.5,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
safety_stock_days_scale_2_0,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_2_0\input_case.json,C:\dev\lca-simu\etudecas\simulation\sensibility\reference_baseline_service96_no_prod_stop_365d_warmup260_fill96_threshold_all_suppliers\cases\safety_stock_days_scale_2_0\simulation_output,4669972.6174,0.274974,0.157128,0.001907,0.212454,0.353538,860.0,4824340.9138,0.952964,18283.75,883.75,1407635.402,13533087.7009,17400.0,769199.4197,31645249.4291,769992.014,782660.9135,168240.5218,0.0,0.0,0.0,0.0,0.0,3721242.3389,10632120.9684,2126424.1937,13507277.8469,0.0,105499.3017,25809.854,17423.75,778978.6554,593563.7552,2875156.8784,0.0,4784454.4358,2.0,global,safety_stock_days_scale,Safety stock global,buffer_policy,ok
