division,dst_node_id,estimated_value_eur,fallback_lane_count,flags,graph_physical_delivery_day,graph_resolved,graph_usable_day,item_id,item_kind,lead_days_fia,order_type,physical_delivery_date,planning_element,product_scope,qty_item_uom,qty_standard_uom,quantity,receipt_release_days,selected_edge_id,selected_lane_src,source_row,src_node_id,standard_order_qty,standard_order_ratio,standard_order_uom,uom,usable_date,valid_exact_lane,valuation_source
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:001893,MP,,purchase_open_order,2025-01-17T00:00:00,AVICDE,268091,22800.0,22800.0,22800.0,11,,,12,SDC-VD0518684A,0.0,,KG,KG,2025-02-03T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:001893,MP,,purchase_open_order,2025-01-08T00:00:00,AVICDE,268091,16560.0,16560.0,16560.0,11,,,13,SDC-VD0910216A,0.0,,KG,KG,2025-01-23T00:00:00,False,unpriced
1810,M-1810,18450.0,4,duplicate_same_key,19,True,29,item:002612,MP,35.0,purchase_open_order,2025-01-20T00:00:00,AVICDE,268091,22500.0,22500.0,22500.0,8,edge:SDC-VD0910216A_TO_M-1810_002612,SDC-VD0910216A,14,SDC-VD0910216A,22500.0,1.0,KG,KG,2025-01-30T00:00:00,True,exact_lane
1810,M-1810,18450.0,4,duplicate_same_key,35,True,47,item:002612,MP,35.0,purchase_open_order,2025-02-05T00:00:00,AVICDE,268091,22500.0,22500.0,22500.0,8,edge:SDC-VD0910216A_TO_M-1810_002612,SDC-VD0910216A,15,SDC-VD0910216A,22500.0,1.0,KG,KG,2025-02-17T00:00:00,True,exact_lane
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:002612,MP,,purchase_open_order,2025-01-14T00:00:00,AVICDE,268091,24000.0,24000.0,24000.0,12,,,16,SDC-VD0990780A,0.0,,KG,KG,2025-01-30T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:002612,MP,,purchase_open_order,2025-01-07T00:00:00,AVICDE,268091,25000.0,25000.0,25000.0,12,,,17,SDC-VD1091642A,0.0,,KG,KG,2025-01-23T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:002612,MP,,purchase_open_order,2025-01-23T00:00:00,AVICDE,268091,25000.0,25000.0,25000.0,12,,,18,SDC-VD1091642A,0.0,,KG,KG,2025-02-10T00:00:00,False,unpriced
1810,M-1810,,0,supplier_item_lane_absent|no_dest_item_lane,22,True,30,item:007923,MP,,purchase_open_order,2025-01-23T00:00:00,AVICDE,268091,19140000.0,19140000.0,19140000.0,6,,,19,SDC-VD0956464A,0.0,,G,G,2025-01-31T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:016332,MP,,purchase_open_order,2025-01-07T00:00:00,AVICDE,268091,1200000.0,1200000.0,1200000.0,11,,,20,SDC-VD0514881A,0.0,,G,G,2025-01-22T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders|duplicate_same_key,,False,,item:016332,MP,,purchase_open_order,2025-02-05T00:00:00,ECHCDE,268091,1200000.0,1200000.0,1200000.0,11,,,21,SDC-VD0514881A,0.0,,G,G,2025-02-20T00:00:00,False,unpriced
1450,SDC-1450,1210000.0,4,duplicate_same_key,34,True,142,item:021081,MP,120.0,purchase_open_order,2025-02-04T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,22,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-05-23T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,105,True,232,item:021081,MP,120.0,purchase_open_order,2025-04-16T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,23,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-08-21T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,6,True,112,item:021081,MP,120.0,purchase_open_order,2025-01-07T00:00:00,AVICDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,24,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-04-23T00:00:00,True,exact_lane
1450,SDC-1450,242000.0,4,,139,True,261,item:021081,MP,120.0,purchase_open_order,2025-05-20T00:00:00,ECHCDE,773474,20000.0,20000.0,20000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,25,SDC-VD0960508A,20000.0,1.0,KG,KG,2025-09-19T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,48,True,160,item:021081,MP,120.0,purchase_open_order,2025-02-18T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,26,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-06-10T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,91,True,204,item:021081,MP,120.0,purchase_open_order,2025-04-02T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,27,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-07-24T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,62,True,174,item:021081,MP,120.0,purchase_open_order,2025-03-04T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,28,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-06-24T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,20,True,128,item:021081,MP,120.0,purchase_open_order,2025-01-21T00:00:00,AVICDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,29,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-05-09T00:00:00,True,exact_lane
1450,SDC-1450,1210000.0,4,duplicate_same_key,131,True,253,item:021081,MP,120.0,purchase_open_order,2025-05-12T00:00:00,ECHCDE,773474,100000.0,100000.0,100000.0,75,edge:SDC-VD0960508A_TO_SDC-1450_021081,SDC-VD0960508A,30,SDC-VD0960508A,20000.0,5.0,KG,KG,2025-09-11T00:00:00,True,exact_lane
1450,SDC-1450,486000.0,4,duplicate_same_key,27,True,135,item:021081,MP,120.0,purchase_open_order,2025-01-28T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0972460A_TO_SDC-1450_021081,SDC-VD0972460A,31,SDC-VD0972460A,20000.0,2.0,KG,KG,2025-05-16T00:00:00,True,exact_lane
1450,SDC-1450,243000.0,4,,62,True,174,item:021081,MP,120.0,purchase_open_order,2025-03-04T00:00:00,ECHCDE,773474,20000.0,20000.0,20000.0,75,edge:SDC-VD0972460A_TO_SDC-1450_021081,SDC-VD0972460A,32,SDC-VD0972460A,20000.0,1.0,KG,KG,2025-06-24T00:00:00,True,exact_lane
1450,SDC-1450,486000.0,4,duplicate_same_key,13,True,119,item:021081,MP,120.0,purchase_open_order,2025-01-14T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0972460A_TO_SDC-1450_021081,SDC-VD0972460A,33,SDC-VD0972460A,20000.0,2.0,KG,KG,2025-04-30T00:00:00,True,exact_lane
1450,SDC-1450,600000.0,4,duplicate_same_key,13,True,119,item:021081,MP,120.0,purchase_open_order,2025-01-14T00:00:00,AVICDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0975221A_TO_SDC-1450_021081,SDC-VD0975221A,34,SDC-VD0975221A,20000.0,2.0,KG,KG,2025-04-30T00:00:00,True,exact_lane
1450,SDC-1450,300000.0,4,,62,True,174,item:021081,MP,120.0,purchase_open_order,2025-03-04T00:00:00,ECHCDE,773474,20000.0,20000.0,20000.0,75,edge:SDC-VD0975221A_TO_SDC-1450_021081,SDC-VD0975221A,35,SDC-VD0975221A,20000.0,1.0,KG,KG,2025-06-24T00:00:00,True,exact_lane
1450,SDC-1450,600000.0,4,duplicate_same_key,41,True,152,item:021081,MP,120.0,purchase_open_order,2025-02-11T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0975221A_TO_SDC-1450_021081,SDC-VD0975221A,36,SDC-VD0975221A,20000.0,2.0,KG,KG,2025-06-02T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,27,True,135,item:021081,MP,120.0,purchase_open_order,2025-01-28T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,37,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-05-16T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,62,True,174,item:021081,MP,120.0,purchase_open_order,2025-03-04T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,38,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-06-24T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,105,True,232,item:021081,MP,120.0,purchase_open_order,2025-04-16T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,39,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-08-21T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,6,True,112,item:021081,MP,120.0,purchase_open_order,2025-01-07T00:00:00,AVICDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,40,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-04-23T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,13,True,119,item:021081,MP,120.0,purchase_open_order,2025-01-14T00:00:00,AVICDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,41,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-04-30T00:00:00,True,exact_lane
1450,SDC-1450,242000.0,4,,124,True,247,item:021081,MP,120.0,purchase_open_order,2025-05-05T00:00:00,ECHCDE,773474,20000.0,20000.0,20000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,42,SDC-VD0949099A,20000.0,1.0,KG,KG,2025-09-05T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,34,True,142,item:021081,MP,120.0,purchase_open_order,2025-02-04T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,43,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-05-23T00:00:00,True,exact_lane
1450,SDC-1450,484000.0,4,duplicate_same_key,78,True,190,item:021081,MP,120.0,purchase_open_order,2025-03-20T00:00:00,ECHCDE,773474,40000.0,40000.0,40000.0,75,edge:SDC-VD0949099A_TO_SDC-1450_021081,SDC-VD0949099A,44,SDC-VD0949099A,20000.0,2.0,KG,KG,2025-07-10T00:00:00,True,exact_lane
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:029313,MP,,purchase_open_order,2025-04-10T00:00:00,AVICDE,268091,300000.0,300000.0,300000.0,12,,,45,SDC-VD0519670A,0.0,,G,G,2025-04-29T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:029313,MP,,purchase_open_order,2025-02-10T00:00:00,ECHCDE,268091,600000.0,600000.0,600000.0,12,,,46,SDC-VD0519670A,0.0,,G,G,2025-02-26T00:00:00,False,unpriced
1430,M-1430,45700.0,1,duplicate_same_key,55,True,75,item:038005,MP,154.0,purchase_open_order,2025-02-25T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,47,SDC-VD0520132A,10000.0,1.0,KG,G,2025-03-17T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,34,True,54,item:038005,MP,154.0,purchase_open_order,2025-02-04T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,48,SDC-VD0520132A,10000.0,1.0,KG,G,2025-02-24T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,14,True,34,item:038005,MP,154.0,purchase_open_order,2025-01-15T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,49,SDC-VD0520132A,10000.0,1.0,KG,G,2025-02-04T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,49,True,69,item:038005,MP,154.0,purchase_open_order,2025-02-19T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,50,SDC-VD0520132A,10000.0,1.0,KG,G,2025-03-11T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,114,True,138,item:038005,MP,154.0,purchase_open_order,2025-04-25T00:00:00,ECHCDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,51,SDC-VD0520132A,10000.0,1.0,KG,G,2025-05-19T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,23,True,43,item:038005,MP,154.0,purchase_open_order,2025-01-24T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,52,SDC-VD0520132A,10000.0,1.0,KG,G,2025-02-13T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,27,True,47,item:038005,MP,154.0,purchase_open_order,2025-01-28T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,53,SDC-VD0520132A,10000.0,1.0,KG,G,2025-02-17T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,48,True,68,item:038005,MP,154.0,purchase_open_order,2025-02-18T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,54,SDC-VD0520132A,10000.0,1.0,KG,G,2025-03-10T00:00:00,True,exact_lane
1430,M-1430,45700.0,1,duplicate_same_key,96,True,117,item:038005,MP,154.0,purchase_open_order,2025-04-07T00:00:00,AVICDE,268967,10000000.0,10000.0,10000000.0,14,edge:SDC-VD0520132A_TO_M-1430_038005,SDC-VD0520132A,55,SDC-VD0520132A,10000.0,1.0,KG,G,2025-04-28T00:00:00,True,exact_lane
1430,M-1430,66300.0,1,duplicate_same_key,16,True,36,item:042342,MP,21.0,purchase_open_order,2025-01-17T00:00:00,AVICDE,268967,30000000.0,30000000.0,30000000.0,14,edge:SDC-VD0914690A_TO_M-1430_042342,SDC-VD0914690A,56,SDC-VD0914690A,30000000.0,1.0,UN,UN,2025-02-06T00:00:00,True,exact_lane
1430,M-1430,66300.0,1,duplicate_same_key,30,True,50,item:042342,MP,21.0,purchase_open_order,2025-01-31T00:00:00,AVICDE,268967,30000000.0,30000000.0,30000000.0,14,edge:SDC-VD0914690A_TO_M-1430_042342,SDC-VD0914690A,57,SDC-VD0914690A,30000000.0,1.0,UN,UN,2025-02-20T00:00:00,True,exact_lane
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,140,True,153,item:049371,MP,147.0,purchase_open_order,2025-05-21T00:00:00,ECHCDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,58,SDC-VD0518550B,1600.0,1.125,KG,G,2025-06-03T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,91,True,103,item:049371,MP,147.0,purchase_open_order,2025-04-02T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,59,SDC-VD0518550B,1600.0,1.125,KG,G,2025-04-14T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,133,True,145,item:049371,MP,147.0,purchase_open_order,2025-05-14T00:00:00,ECHCDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,60,SDC-VD0518550B,1600.0,1.125,KG,G,2025-05-26T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,107,True,121,item:049371,MP,147.0,purchase_open_order,2025-04-18T00:00:00,ECHCDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,61,SDC-VD0518550B,1600.0,1.125,KG,G,2025-05-02T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,48,True,58,item:049371,MP,147.0,purchase_open_order,2025-02-18T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,62,SDC-VD0518550B,1600.0,1.125,KG,G,2025-02-28T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,16,True,28,item:049371,MP,147.0,purchase_open_order,2025-01-17T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,63,SDC-VD0518550B,1600.0,1.125,KG,G,2025-01-29T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,51,True,63,item:049371,MP,147.0,purchase_open_order,2025-02-21T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,64,SDC-VD0518550B,1600.0,1.125,KG,G,2025-03-05T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,113,True,126,item:049371,MP,147.0,purchase_open_order,2025-04-24T00:00:00,ECHCDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,65,SDC-VD0518550B,1600.0,1.125,KG,G,2025-05-07T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,16,True,28,item:049371,MP,147.0,purchase_open_order,2025-01-17T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,66,SDC-VD0518550B,1600.0,1.125,KG,G,2025-01-29T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,14,True,26,item:049371,MP,147.0,purchase_open_order,2025-01-15T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,67,SDC-VD0518550B,1600.0,1.125,KG,G,2025-01-27T00:00:00,False,fallback_dest_item
1810,M-1810,26370.0,1,supplier_item_lane_absent|not_multiple_of_standard_order_qty|duplicate_same_key,93,True,105,item:049371,MP,147.0,purchase_open_order,2025-04-04T00:00:00,AVICDE,268091,1800000.0,1800.0,1800000.0,8,edge:SDC-VD0520132A_TO_M-1810_049371,SDC-VD0520132A,68,SDC-VD0518550B,1600.0,1.125,KG,G,2025-04-16T00:00:00,False,fallback_dest_item
1810,M-1810,6105.0,2,,16,True,35,item:055703,MP,21.0,purchase_open_order,2025-01-17T00:00:00,ECHCDE,268091,300000.0,300.0,300000.0,13,edge:SDC-VD0914320A_TO_M-1810_055703,SDC-VD0914320A,69,SDC-VD0914320A,300.0,1.0,KG,G,2025-02-05T00:00:00,True,exact_lane
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:099439,MP,,purchase_open_order,2025-01-29T00:00:00,AVICDE,268091,8400000.0,8400000.0,8400000.0,11,,,70,SDC-VD0505677A,0.0,,G,G,2025-02-13T00:00:00,False,unpriced
1820,,,0,supplier_item_lane_absent|no_dest_item_lane|unmapped_division|not_in_graph_open_orders,,False,,item:099439,MP,,purchase_open_order,2025-01-13T00:00:00,AVICDE,268091,4200000.0,4200000.0,4200000.0,11,,,71,SDC-VD0505677A,0.0,,G,G,2025-01-28T00:00:00,False,unpriced
1810,M-1810,,0,,21,True,35,item:268091,PF,,production_open_order,2025-01-22T00:00:00,O.Proc,268091,20795.0,20795.0,20795.0,10,,,72,,0.0,,UN,UN,2025-02-05T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,93,True,107,item:268091,PF,,production_open_order,2025-04-04T00:00:00,O.Proc,268091,141800.0,141800.0,141800.0,10,,,73,,0.0,,UN,UN,2025-04-18T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,117,True,133,item:268091,PF,,production_open_order,2025-04-28T00:00:00,O.Proc,268091,141795.0,141795.0,141795.0,10,,,74,,0.0,,UN,UN,2025-05-14T00:00:00,False,unpriced
1810,M-1810,,0,,9,True,23,item:268091,PF,,production_open_order,2025-01-10T00:00:00,O.Proc,268091,139660.0,139660.0,139660.0,10,,,75,,0.0,,UN,UN,2025-01-24T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,98,True,113,item:268091,PF,,production_open_order,2025-04-09T00:00:00,O.Proc,268091,141795.0,141795.0,141795.0,10,,,76,,0.0,,UN,UN,2025-04-24T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,50,True,64,item:268091,PF,,production_open_order,2025-02-20T00:00:00,O.Proc,268091,141795.0,141795.0,141795.0,10,,,77,,0.0,,UN,UN,2025-03-06T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,29,True,43,item:268091,PF,,production_open_order,2025-01-30T00:00:00,O.Proc,268091,141795.0,141795.0,141795.0,10,,,78,,0.0,,UN,UN,2025-02-13T00:00:00,False,unpriced
1810,M-1810,,0,duplicate_same_key,79,True,93,item:268091,PF,,production_open_order,2025-03-21T00:00:00,O.Proc,268091,141795.0,141795.0,141795.0,10,,,79,,0.0,,UN,UN,2025-04-04T00:00:00,False,unpriced
1810,M-1810,,0,,28,True,42,item:268091,PF,,production_open_order,2025-01-29T00:00:00,O.Proc,268091,16800.0,16800.0,16800.0,10,,,80,,0.0,,UN,UN,2025-02-12T00:00:00,False,unpriced
1810,M-1810,,0,,62,True,76,item:268091,PF,,production_open_order,2025-03-04T00:00:00,O.Proc,268091,60695.0,60695.0,60695.0,10,,,81,,0.0,,UN,UN,2025-03-18T00:00:00,False,unpriced
1810,M-1810,,0,,21,True,35,item:268091,PF,,production_open_order,2025-01-22T00:00:00,O.Proc,268091,77520.0,77520.0,77520.0,10,,,82,,0.0,,UN,UN,2025-02-05T00:00:00,False,unpriced
