dst_node_id,empty_edge_rows,flags,item_id,order_type,release_qty,rows,run,src_node_id,supplier_lane_absent_rows
M-1810,0,,item:001848,opening_purchase_order,6000.0,1,268091_365d_strict_fia_orders,SDC-VD0951020A,0
M-1810,0,,item:055703,opening_purchase_order,300.0,1,268091_365d_strict_fia_orders,SDC-VD0914320A,0
M-1430,0,,item:042342,lane_release,600000000.0,20,5y_full,SDC-VD0914690A,0
M-1430,0,,item:773474,lane_release,88444082.0,912,5y_full,SDC-1450,0
M-1810,0,,item:338929,lane_release,27265000.0,5195,5y_full,SDC-VD0914360C,0
M-1810,0,,item:338928,lane_release,19500000.0,780,5y_full,SDC-VD0901566A,0
C-XXXXX,0,,item:268091,lane_release,18062039.142879006,1588,5y_full,DC-1920,0
DC-1920,0,,item:268091,lane_release,18030515.0,1321,5y_full,M-1810,0
M-1430,0,,item:344135,lane_release,12120000.0,101,5y_full,SDC-VD0993480A,0
M-1810,0,,item:693055,lane_release,8877392.0,16044,5y_full,SDC-1450,0
M-1430,0,,item:333362,lane_release,8180000.0,1474,5y_full,SDC-VD0525412A,0
C-XXXXX,0,,item:268967,lane_release,7935752.142720005,1000,5y_full,DC-1920,0
DC-1920,0,,item:268967,lane_release,7040857.285569005,357,5y_full,M-1430,0
M-1430,0,,item:730384,lane_release,3330000.0,9,5y_full,SDC-VD0508918A,0
M-1810,0,,item:426331,lane_release,192000.0,10,5y_full,SDC-VD0989480A,0
M-1430,0,,item:038005,lane_release,160000.0,16,5y_full,SDC-VD0520132A,0
M-1430,0,,item:708073,lane_release,85000.0,17,5y_full,SDC-VD0520115A,0
M-1430,0,,item:734545,lane_release,81900.0,13,5y_full,SDC-VD1095770A,0
M-1810,0,,item:099439,lane_release,42000.0,10,5y_full,SDC-VD0505677A,0
M-1810,0,,item:001757,lane_release,38000.0,380,5y_full,SDC-VD0951020A,0
M-1810,0,,item:007923,lane_release,26984.502125999992,404,5y_full,SDC-VD0956464A,0
M-1810,0,,item:001893,lane_release,23920.0,1,5y_full,SDC-VD0910216A,0
M-1810,0,,item:002612,lane_release,23750.0,1,5y_full,SDC-VD0990780A,0
M-1810,0,,item:001893,lane_release,22800.0,1,5y_full,SDC-VD0518684A,0
M-1810,0,,item:002612,lane_release,22500.0,1,5y_full,SDC-VD0910216A,0
M-1810,0,,item:002612,lane_release,22500.0,1,5y_full,SDC-VD1091642A,0
M-1810,0,,item:002612,lane_release,21600.0,1,5y_full,SDC-VD0500655A,0
M-1810,0,,item:001893,lane_release,20900.0,1,5y_full,SDC-VD1091642A,0
M-1810,0,,item:049371,lane_release,16000.0,10,5y_full,SDC-VD0520132A,0
M-1810,0,,item:016332,lane_release,12100.0,11,5y_full,SDC-VD0514881A,0
M-1810,0,,item:007923,lane_release,6746.125545000001,404,5y_full,SDC-VD0951020A,0
M-1810,0,,item:001848,lane_release,6000.0,1,5y_full,SDC-VD0951020A,0
M-1810,0,,item:001848,lane_release,4000.0,1,5y_full,SDC-VD0519670A,0
M-1810,0,,item:029313,lane_release,900.0,3,5y_full,SDC-VD0519670A,0
M-1810,0,,item:039668,lane_release,900.0,2,5y_full,SDC-VD1096202A,0
M-1810,0,,item:055703,lane_release,300.0,1,5y_full,SDC-VD0914320A,0
M-1810,0,,item:055703,lane_release,300.0,1,5y_full,SDC-VD0964290A,0
SDC-1450,0,,item:021081,lane_release_min_annual_lot,100000.0,5,5y_full,SDC-VD0949099A,0
SDC-1450,0,,item:021081,lane_release_min_annual_lot,100000.0,5,5y_full,SDC-VD0960508A,0
SDC-1450,0,,item:021081,lane_release_min_annual_lot,100000.0,5,5y_full,SDC-VD0972460A,0
SDC-1450,0,,item:021081,lane_release_min_annual_lot,100000.0,5,5y_full,SDC-VD0975221A,0
M-1810,0,,item:001893,lane_release_min_annual_lot,95680.0,4,5y_full,SDC-VD0910216A,0
M-1810,0,,item:002612,lane_release_min_annual_lot,95000.0,4,5y_full,SDC-VD0990780A,0
M-1810,0,,item:001893,lane_release_min_annual_lot,91200.0,4,5y_full,SDC-VD0518684A,0
M-1810,0,,item:002612,lane_release_min_annual_lot,90000.0,4,5y_full,SDC-VD0910216A,0
M-1810,0,,item:002612,lane_release_min_annual_lot,90000.0,4,5y_full,SDC-VD1091642A,0
M-1810,0,,item:002612,lane_release_min_annual_lot,86400.0,4,5y_full,SDC-VD0500655A,0
M-1810,0,,item:001893,lane_release_min_annual_lot,83600.0,4,5y_full,SDC-VD1091642A,0
M-1810,0,,item:001848,lane_release_min_annual_lot,24000.0,4,5y_full,SDC-VD0951020A,0
M-1810,0,,item:001848,lane_release_min_annual_lot,16000.0,4,5y_full,SDC-VD0519670A,0
M-1810,0,,item:055703,lane_release_min_annual_lot,1200.0,4,5y_full,SDC-VD0914320A,0
M-1810,0,,item:055703,lane_release_min_annual_lot,1200.0,4,5y_full,SDC-VD0964290A,0
SDC-1450,0,,item:773474,opening_production_order,3200000.0,1,5y_full,SDC-1450,0
M-1810,0,,item:268091,opening_production_order,1945715.0,20,5y_full,M-1810,0
SDC-1450,0,,item:693055,opening_production_order,600000.0,1,5y_full,SDC-1450,0
M-1430,0,,item:042342,opening_purchase_order,60000000.0,2,5y_full,SDC-VD0914690A,0
SDC-1450,0,,item:021081,opening_purchase_order,820000.0,9,5y_full,SDC-VD0960508A,0
M-1430,0,run_qty_not_multiple_of_standard_order:1,item:333362,opening_purchase_order,629000.0,6,5y_full,SDC-VD0525412A,0
M-1810,0,run_qty_not_multiple_of_standard_order:3,item:338928,opening_purchase_order,365033.0,3,5y_full,SDC-VD0901566A,0
SDC-1450,0,,item:021081,opening_purchase_order,300000.0,8,5y_full,SDC-VD0949099A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,5y_full,SDC-VD0972460A,0
SDC-1450,0,,item:021081,opening_purchase_order,100000.0,3,5y_full,SDC-VD0975221A,0
M-1430,0,,item:038005,opening_purchase_order,90000.0,9,5y_full,SDC-VD0520132A,0
M-1810,0,run_qty_not_multiple_of_standard_order:1,item:338929,opening_purchase_order,57600.0,1,5y_full,SDC-VD0914360C,0
M-1810,0,,item:002612,opening_purchase_order,45000.0,2,5y_full,SDC-VD0910216A,0
M-1810,0,run_opening_purchase_supplier_lane_absent:11; run_qty_not_multiple_of_standard_order:11,item:049371,opening_purchase_order,19800.0,11,5y_full,SDC-VD0518550B,11
M-1810,0,,item:426331,opening_purchase_order,19200.0,1,5y_full,SDC-VD0989480A,0
M-1810,0,run_opening_purchase_supplier_lane_absent:1,item:007923,opening_purchase_order,19140.0,1,5y_full,SDC-VD0956464A,1
M-1810,0,,item:001757,opening_purchase_order,8000.0,3,5y_full,SDC-VD0951020A,0
M-1430,1,run_opening_purchase_empty_edge:1; run_opening_purchase_supplier_lane_absent:1; run_opening_purchase_zero_reference_lead:1,item:001848,opening_purchase_order,7000.0,1,5y_full,SDC-VD0951020A,1
M-1430,0,run_opening_purchase_supplier_lane_absent:1; run_qty_not_multiple_of_standard_order:1,item:734545,opening_purchase_order,6400.0,1,5y_full,SDC-VD0525906A,1
M-1810,0,,item:001848,opening_purchase_order,6000.0,1,5y_full,SDC-VD0951020A,0
M-1810,0,,item:055703,opening_purchase_order,300.0,1,5y_full,SDC-VD0914320A,0
