day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
12,M-1810,item:268091,5101.993662,5101.993662,5101.993662,11900.0,78200.888836,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
12,SDC-1450,item:773474,44414.848672,44414.848672,44414.848672,2000000.0,369166629.312746,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
13,M-1430,item:268967,6256.667005,6256.667005,5200.0,5200.0,72800.0,capacity,,1056.667005,1056.667005,none,0.0,0.0,0.0,0.0,0.0,0.0
13,M-1810,item:268091,5102.570161,5102.570161,5102.570161,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
13,SDC-1450,item:773474,46011.94119,46011.94119,46011.94119,2000000.0,383122214.464075,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
14,M-1430,item:268967,4587.219115,4587.219115,4587.219115,5200.0,67600.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
14,M-1810,item:268091,6913.199747,6913.199747,6913.199747,11900.0,78197.429839,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
14,SDC-1450,item:773474,47169.878176,47169.878176,47169.878176,2000000.0,383090712.636543,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
15,M-1430,item:268967,4253.329537,4253.329537,4253.329537,5200.0,63012.780885,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
15,M-1810,item:268091,7275.325664,7275.325664,7275.325664,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
15,SDC-1450,item:773474,46825.15133,46825.15133,46825.15133,2000000.0,383043542.758368,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
16,M-1430,item:268967,4186.551622,4186.551622,4186.551622,5200.0,63959.451347,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
16,M-1810,item:268091,7347.750847,7347.750847,7347.750847,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
16,SDC-1450,item:773474,45604.115144,45604.115144,45604.115144,2000000.0,383006618.388075,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
17,M-1430,item:268967,4173.196039,4173.196039,4173.196039,5200.0,59772.899725,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
17,M-1810,item:268091,7362.235884,7362.235884,7362.235884,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
17,SDC-1450,item:773474,44323.079938,44323.079938,44323.079938,2000000.0,382961014.272931,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
18,M-1430,item:268967,4170.524922,4170.524922,4170.524922,5200.0,65999.703687,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
18,M-1810,item:268091,7365.132891,7365.132891,7365.132891,11900.0,75937.764116,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
18,SDC-1450,item:773474,43260.463092,43260.463092,43260.463092,2000000.0,382916691.192993,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
19,M-1430,item:268967,4169.990699,4169.990699,4169.990699,5200.0,61829.178764,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
19,M-1810,item:268091,7365.712293,7365.712293,7365.712293,11900.0,75934.867109,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
19,SDC-1450,item:773474,42448.895512,42448.895512,42448.895512,2000000.0,382873430.729901,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
20,M-1430,item:268967,4169.883854,4169.883854,4169.883854,5200.0,57659.188066,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
20,M-1810,item:268091,7365.828173,7365.828173,7365.828173,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
20,SDC-1450,item:773474,41848.819745,41848.819745,41848.819745,2000000.0,382872756.34375,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
21,M-1430,item:268967,3960.833914,3960.833914,3960.833914,5200.0,58689.304211,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
21,M-1810,item:268091,10810.537063,10810.537063,10810.537063,11900.0,75934.171827,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
21,SDC-1450,item:773474,41410.851184,41410.851184,41410.851184,2000000.0,382830907.524005,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
22,M-1430,item:268967,3919.023926,3919.023926,3919.023926,5200.0,59315.689413,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
22,M-1810,item:268091,11499.478841,11499.478841,11499.478841,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
22,SDC-1450,item:773474,40689.234132,40689.234132,40689.234132,2000000.0,382789496.672822,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
23,M-1430,item:268967,3910.661928,3910.661928,3910.661928,5200.0,55396.665487,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
23,M-1810,item:268091,11637.267197,11637.267197,11637.267197,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
23,SDC-1450,item:773474,39974.478063,39974.478063,39974.478063,2000000.0,382748807.43869,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
24,M-1430,item:268967,3908.989529,3908.989529,3908.989529,5200.0,60856.52848,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
24,M-1810,item:268091,11664.824868,11664.824868,11664.824868,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
24,SDC-1450,item:773474,39387.898859,39387.898859,39387.898859,2000000.0,382713010.174641,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
25,M-1430,item:268967,3908.655049,3908.655049,3908.655049,5200.0,56947.538952,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
25,M-1810,item:268091,11670.336402,11670.336402,11670.336402,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
25,SDC-1450,item:773474,38941.04156,38941.04156,38941.04156,2000000.0,382673622.275782,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
26,M-1430,item:268967,3908.588153,3908.588153,3908.588153,5200.0,53038.883903,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
26,M-1810,item:268091,11671.438709,11671.438709,11671.438709,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
26,SDC-1450,item:773474,38610.854239,38610.854239,38610.854239,2000000.0,382634681.234222,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
27,M-1430,item:268967,3908.574774,3908.574774,3908.574774,5200.0,57473.482487,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
27,M-1810,item:268091,11671.659171,11671.659171,11671.659171,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
27,SDC-1450,item:773474,38369.909207,38369.909207,38369.909207,2000000.0,382600274.756936,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
28,M-1430,item:268967,4719.543526,4719.543526,4719.543526,5200.0,53564.907713,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
28,M-1810,item:268091,10602.674691,10602.674691,10602.674691,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
28,SDC-1450,item:773474,38194.975803,38194.975803,38194.975803,2000000.0,382594576.085302,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
29,M-1430,item:268967,4881.737276,4881.737276,4881.737276,5200.0,48845.364187,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
29,M-1810,item:268091,10388.877795,10388.877795,10388.877795,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
29,SDC-1450,item:773474,39634.166328,39634.166328,39634.166328,2000000.0,382556381.109499,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
30,M-1430,item:268967,4914.176026,4914.176026,4914.176026,5200.0,48133.510765,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
30,M-1810,item:268091,10346.118416,10346.118416,10346.118416,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
30,SDC-1450,item:773474,41421.530518,41421.530518,41421.530518,2000000.0,382517856.502017,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
31,M-1430,item:268967,4920.663776,4920.663776,4920.663776,5200.0,65685.744201,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
31,M-1810,item:268091,10337.56654,10337.56654,10337.56654,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
31,SDC-1450,item:773474,42983.694,42983.694,42983.694,2000000.0,382518522.873982,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
32,M-1430,item:268967,4921.961326,4921.961326,4921.961326,5200.0,60765.080424,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
32,M-1810,item:268091,10335.856165,10335.856165,10335.856165,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
32,SDC-1450,item:773474,44200.912124,44200.912124,44200.912124,2000000.0,382483154.937032,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
33,M-1430,item:268967,4922.220836,4922.220836,4922.220836,5200.0,63660.34892,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
33,M-1810,item:268091,10335.51409,10335.51409,10335.51409,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
33,SDC-1450,item:773474,45108.203046,45108.203046,45108.203046,2000000.0,382493647.852376,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
34,M-1430,item:268967,4922.272738,4922.272738,4922.272738,5200.0,58738.128084,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
34,M-1810,item:268091,10335.445675,10335.445675,10335.445675,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
34,SDC-1450,item:773474,45772.551444,45772.551444,45772.551444,2000000.0,382458228.141603,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
35,M-1430,item:268967,4052.340262,4052.340262,4052.340262,5200.0,58697.592622,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
35,M-1810,item:268091,9622.746278,9622.746278,9622.746278,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
35,SDC-1450,item:773474,46255.541876,46255.541876,46255.541876,2000000.0,382460194.316232,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
36,M-1430,item:268967,3878.353767,3878.353767,3878.353767,5200.0,58898.581897,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
36,M-1810,item:268091,9480.206399,9480.206399,9480.206399,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
36,SDC-1450,item:773474,44925.872082,44925.872082,44925.872082,2000000.0,382415313.239093,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
37,M-1430,item:268967,3843.556468,3843.556468,3843.556468,5200.0,55020.22813,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
37,M-1810,item:268091,9451.698423,9451.698423,9451.698423,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
37,SDC-1450,item:773474,43163.646091,43163.646091,43163.646091,2000000.0,382411145.66275,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
38,M-1430,item:268967,3836.597008,3836.597008,3836.597008,5200.0,51176.671663,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
38,M-1810,item:268091,9445.996828,9445.996828,9445.996828,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
38,SDC-1450,item:773474,41600.162437,41600.162437,41600.162437,2000000.0,382410325.54762,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
39,M-1430,item:268967,3835.205116,3835.205116,3835.205116,5200.0,56169.326584,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
39,M-1810,item:268091,9444.856509,9444.856509,9444.856509,11900.0,73854.003172,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
39,SDC-1450,item:773474,40375.685657,40375.685657,40375.685657,2000000.0,382379862.050155,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
40,M-1430,item:268967,3834.926738,3834.926738,3834.926738,5200.0,69929.170812,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
40,M-1810,item:268091,9444.628445,9444.628445,9444.628445,11900.0,73855.143491,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
40,SDC-1450,item:773474,39461.217943,39461.217943,39461.217943,2000000.0,382351682.464541,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
41,M-1430,item:268967,3834.871062,3834.871062,3834.871062,5200.0,74894.559167,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
41,M-1810,item:268091,9444.582832,9444.582832,9444.582832,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
41,SDC-1450,item:773474,38791.108052,38791.108052,38791.108052,2000000.0,382371629.101331,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
42,M-1430,item:268967,6248.688498,6248.688498,5200.0,5200.0,75981.908942,capacity,,1048.688498,1048.688498,none,0.0,0.0,0.0,0.0,0.0,0.0
42,M-1810,item:268091,7537.145138,7537.145138,7537.145138,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
42,SDC-1450,item:773474,38303.784197,38303.784197,38303.784197,2000000.0,382336266.19079,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
43,M-1430,item:268967,6731.451985,6731.451985,5200.0,5200.0,78529.167878,capacity,,1531.451985,1531.451985,none,0.0,0.0,0.0,0.0,0.0,0.0
43,M-1810,item:268091,7155.657599,7155.657599,7155.657599,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
43,SDC-1450,item:773474,40586.469307,40586.469307,40586.469307,2000000.0,382297962.406593,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
44,M-1430,item:268967,6828.004683,6828.004683,5200.0,5200.0,73329.167878,capacity,,1628.004683,1628.004683,none,0.0,0.0,0.0,0.0,0.0,0.0
44,M-1810,item:268091,7079.360091,7079.360091,7079.360091,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
44,SDC-1450,item:773474,42966.619188,42966.619188,42966.619188,2000000.0,382258909.597036,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
45,M-1430,item:268967,6847.315222,6847.315222,5200.0,5200.0,68129.167878,capacity,,1647.315222,1647.315222,none,0.0,0.0,0.0,0.0,0.0,0.0
45,M-1810,item:268091,7064.100589,7064.100589,7064.100589,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
45,SDC-1450,item:773474,44890.232046,44890.232046,44890.232046,2000000.0,382275748.181747,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
46,M-1430,item:268967,6851.17733,6851.17733,5200.0,5200.0,71972.724346,capacity,,1651.17733,1651.17733,none,0.0,0.0,0.0,0.0,0.0,0.0
46,M-1810,item:268091,7061.048689,7061.048689,7061.048689,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
46,SDC-1450,item:773474,46337.814929,46337.814929,46337.814929,2000000.0,409930996.390914,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
47,M-1430,item:268967,6851.949752,6851.949752,5200.0,5200.0,70607.929462,capacity,,1651.949752,1651.949752,none,0.0,0.0,0.0,0.0,0.0,0.0
47,M-1810,item:268091,7060.438309,7060.438309,7060.438309,11900.0,76238.951311,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
47,SDC-1450,item:773474,47400.675239,47400.675239,47400.675239,2000000.0,409884658.575986,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
48,M-1430,item:268967,6852.104236,6852.104236,5200.0,5200.0,70607.929462,capacity,,1652.104236,1652.104236,none,0.0,0.0,0.0,0.0,0.0,0.0
48,M-1810,item:268091,7060.316233,7060.316233,7060.316233,11900.0,83300.0,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
48,SDC-1450,item:773474,48174.018974,48174.018974,48174.018974,2000000.0,409858391.396035,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
49,M-1430,item:268967,4954.306562,4954.306562,4954.306562,5200.0,65407.929462,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
49,M-1810,item:268091,12805.663247,12805.663247,11900.0,11900.0,76239.683767,capacity,,905.663247,905.663247,none,0.0,0.0,0.0,0.0,0.0,0.0
49,SDC-1450,item:773474,48734.790646,48734.790646,48734.790646,2000000.0,409813675.724871,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
50,M-1430,item:268967,4574.747027,4574.747027,4574.747027,5200.0,64288.493962,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
50,M-1810,item:268091,13954.732649,13954.732649,11900.0,11900.0,83300.0,capacity,,2054.732649,2054.732649,none,0.0,0.0,0.0,0.0,0.0,0.0
50,SDC-1450,item:773474,48666.473399,48666.473399,48666.473399,2000000.0,409775384.360922,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
51,M-1430,item:268967,4498.83512,4498.83512,4498.83512,5200.0,59713.746936,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
51,M-1810,item:268091,14184.54653,14184.54653,11900.0,11900.0,71400.0,capacity,,2284.54653,2284.54653,none,0.0,0.0,0.0,0.0,0.0,0.0
51,SDC-1450,item:773474,47753.093762,47753.093762,47753.093762,2000000.0,409728130.010286,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
52,M-1430,item:268967,4483.652738,4483.652738,4483.652738,5200.0,63972.111292,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
52,M-1810,item:268091,14230.509306,14230.509306,11900.0,11900.0,83300.0,capacity,,2330.509306,2330.509306,none,0.0,0.0,0.0,0.0,0.0,0.0
52,SDC-1450,item:773474,46706.795964,46706.795964,46706.795964,2000000.0,409716072.242299,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
53,M-1430,item:268967,4480.616262,4480.616262,4480.616262,5200.0,64688.458554,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
53,M-1810,item:268091,14239.701861,14239.701861,11900.0,11900.0,83300.0,capacity,,2339.701861,2339.701861,none,0.0,0.0,0.0,0.0,0.0,0.0
53,SDC-1450,item:773474,45813.857772,45813.857772,45813.857772,2000000.0,409670374.714206,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
54,M-1430,item:268967,4480.008967,4480.008967,4480.008967,5200.0,70607.842292,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
54,M-1810,item:268091,14241.540372,14241.540372,11900.0,11900.0,71400.0,capacity,,2341.540372,2341.540372,none,0.0,0.0,0.0,0.0,0.0,0.0
54,SDC-1450,item:773474,45124.315874,45124.315874,45124.315874,2000000.0,409628093.814607,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
55,M-1430,item:268967,4479.887508,4479.887508,4479.887508,5200.0,66127.833325,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
55,M-1810,item:268091,14241.908074,14241.908074,11900.0,11900.0,71400.0,capacity,,2341.908074,2341.908074,none,0.0,0.0,0.0,0.0,0.0,0.0
55,SDC-1450,item:773474,44612.188962,44612.188962,44612.188962,2000000.0,409585119.35556,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
56,M-1430,item:268967,6142.94893,6142.94893,5200.0,5200.0,66847.945817,capacity,,942.94893,942.94893,none,0.0,0.0,0.0,0.0,0.0,0.0
56,M-1810,item:268091,13723.124472,13723.124472,11900.0,11900.0,71400.0,capacity,,1823.124472,1823.124472,none,0.0,0.0,0.0,0.0,0.0,0.0
56,SDC-1450,item:773474,44237.735899,44237.735899,44237.735899,2000000.0,409585325.828369,none,,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0
